Data,Czas,Produkt,ISIN,Giełda referenc,Miejsce wykonania,Liczba,Kurs,,Wartość lokalna,,Wartość,,Kurs wymian,Opłata transakcyjna,,Razem,,Identyfikator zlecenia
06-04-2021,16:58,MICROSOFT CORPORATION,US5949181045,NDQ,CDED,-1,248.4000,USD,248.40,USD,209.38,EUR,1.1852,-0.50,EUR,208.88,EUR,a7ac0afb-f80f-4e69-ae0e-519e824c170e
05-04-2021,15:30,MICROSOFT CORPORATION,US5949181045,NDQ,XNAS,-1,242.8500,USD,242.85,USD,205.71,EUR,1.1794,-0.50,EUR,205.21,EUR,f330b4b4-99d8-47eb-8583-71cd7fc60d23
08-03-2021,16:19,INOVIO PHARMACEUTICALS,US45773H2013,NDQ,CDED,-9,9.3200,USD,83.88,USD,70.44,EUR,1.1896,-0.53,EUR,69.91,EUR,85e78a7e-efc8-456b-a12a-68478185d701
08-03-2021,16:18,APPLE INC. - COMMON ST,US0378331005,NDQ,EDGX,-3,119.0000,USD,357.00,USD,299.83,EUR,1.1895,-0.51,EUR,299.32,EUR,fa3ebcc5-46a3-47e4-8f10-4dfb99c166be
08-03-2021,16:17,ALIBABA GROUP HOLDING,US01609W1027,NSY,CDED,-2,228.1700,USD,456.34,USD,383.23,EUR,1.1896,-0.51,EUR,382.72,EUR,fc67c932-1542-4683-bbfc-43b80cd772f3
08-03-2021,16:17,MICROSOFT CORPORATION,US5949181045,NDQ,CDED,-1,231.7800,USD,231.78,USD,194.68,EUR,1.1894,-0.50,EUR,194.18,EUR,804ae072-79a0-4a72-84da-a20e1a6a0104
25-02-2021,18:11,APPLE INC. - COMMON ST,US0378331005,NDQ,CDED,1,122.3200,USD,-122.32,USD,-99.99,EUR,1.2221,-0.50,EUR,-100.49,EUR,ee5c5ac1-cc81-4498-84ce-784de20f1b78
23-02-2021,15:54,APPLE INC. - COMMON ST,US0378331005,NDQ,CDED,1,121.0300,USD,-121.03,USD,-99.70,EUR,1.2127,-0.50,EUR,-100.20,EUR,9df942ea-3186-4d8b-9f3c-62f0620109a7
22-02-2021,21:25,MICROSOFT CORPORATION,US5949181045,NDQ,CDED,1,235.2400,USD,-235.24,USD,-193.50,EUR,1.2145,-0.50,EUR,-194.00,EUR,5c53d367-5b2f-4e0b-bcc6-c4c9d6da659e
22-02-2021,15:48,MICROSOFT CORPORATION,US5949181045,NDQ,SOHO,1,237.4100,USD,-237.41,USD,-195.56,EUR,1.2128,-0.50,EUR,-196.06,EUR,40851573-f650-4e2a-86e5-eef1a3e7c86b
05-02-2021,19:07,ALIBABA GROUP HOLDING,US01609W1027,NSY,SOHO,-2,266.2000,USD,532.40,USD,441.35,EUR,1.2051,-0.51,EUR,440.84,EUR,1f1e842d-c42a-4c8f-a082-ef469fa7a57d
05-02-2021,16:29,JANONE INC,US47089W1045,NDQ,CDED,1,9.1800,USD,-9.18,USD,-7.64,EUR,1.2008,-0.50,EUR,-8.14,EUR,aec1551b-2f7c-4654-a683-de412d4139c5
05-02-2021,15:30,VIRGIN GALACTIC HOLDINGS INC. COMMON STOCK,US92766K1060,NSY,XNYS,1,55.0000,USD,-55.00,USD,-45.77,EUR,1.2005,-0.50,EUR,-46.27,EUR,8aa6c76d-9499-40ab-92b0-bb056e644037
04-02-2021,16:09,PROCTER & GAMBLE COMPA,US7427181091,NSY,SOHO,2,129.2700,USD,-258.54,USD,-215.81,EUR,1.1968,-0.51,EUR,-216.32,EUR,5d3dd428-08fe-442d-9d1e-c38400ab97d5
04-02-2021,16:07,ALIBABA GROUP HOLDING,US01609W1027,NSY,SOHO,-1,267.0600,USD,267.06,USD,222.44,EUR,1.1994,-0.50,EUR,221.94,EUR,4bd7d171-81ad-4930-acdc-a02a2662a7fd
29-01-2021,18:29,APPLE INC. - COMMON ST,US0378331005,NDQ,CDED,1,132.0600,USD,-132.06,USD,-108.82,EUR,1.2124,-0.50,EUR,-109.32,EUR,fb2e8dd2-ca65-477b-a205-b08f1fc6fac6
29-01-2021,15:39,APPLE INC. - COMMON ST,US0378331005,NDQ,XNAS,2,135.0000,USD,-270.00,USD,-222.22,EUR,1.2138,-0.51,EUR,-222.73,EUR,7791ee99-2fca-4b78-bf61-745e80335a37
26-01-2021,16:33,CD PROJEKT RED SA,PLOPTTC00011,WSE,XWAR,-2,297.0000,PLN,594.00,PLN,130.62,EUR,4.5475,-0.34,EUR,130.28,EUR,264ecefd-d694-459a-b894-626b3595a5cd
25-01-2021,16:29,APPLE INC. - COMMON ST,US0378331005,NDQ,CDED,-2,144.2200,USD,288.44,USD,237.49,EUR,1.2133,-0.51,EUR,236.98,EUR,28e89a0c-aab9-4d73-8934-60be3c85f146
22-01-2021,16:08,MICROSOFT CORPORATION,US5949181045,NDQ,XNAS,-1,230.0000,USD,230.00,USD,188.50,EUR,1.2189,-0.50,EUR,188.00,EUR,67c9edd8-664b-4b05-a9c8-0c1a81ef8e36
20-01-2021,15:39,ALIBABA GROUP HOLDING,US01609W1027,NSY,ARCX,-1,266.0000,USD,266.00,USD,219.36,EUR,1.2114,-0.50,EUR,218.86,EUR,e1df3ee3-c878-4903-a544-5020ecb1e276
19-01-2021,15:30,ALIBABA GROUP HOLDING,US01609W1027,NSY,XNYS,-2,250.0000,USD,500.00,USD,411.04,EUR,1.2152,-0.51,EUR,410.53,EUR,921f031a-3c52-4c10-844c-9619c5aef542
